drug_name,drug_generic_name,Date of Approval,Company,Treatment for
Wainua,(eplontersen)  Injection,"December 21, 2023",Ionis Pharmaceuticals and AstraZeneca,Hereditary Transthyretin-Mediated Amyloid Polyneuropathy (ATTRv-PN)
Filsuvez,(birch triterpenes)  Topical Gel  - formerly Oleogel-S10,"December 19, 2023",Chiesi Global Rare Diseases,Epidermolysis Bullosa
Alyglo,"(immune globulin intravenous, human-stwk)  Liquid for Intravenous Injection","December 15, 2023","GC Biopharma USA, Inc.",Primary Immunodeficiency Syndrome
Iwilfin,(eflornithine)  Tablets,"December 13, 2023","US WorldMeds, LLC",Neuroblastoma
iDose TR,(travoprost)  Intracameral Implant,"December 13, 2023",Glaukos Corporation,"Glaucoma, Open Angle, Glaucoma/Intraocular Hypertension"
Lyfgenia,(lovotibeglogene autotemcel)  Suspension for Intravenous Infusion,"December 8, 2023","Bluebird Bio, Inc.",Sickle Cell Disease
Casgevy,(exagamglogene autotemcel)  Suspension for Intravenous Infusion,"December 8, 2023",Vertex Pharmaceuticals Incorporated and CRISPR Therapeutics,"Beta Thalassemia, Sickle Cell Disease"
Avzivi,(bevacizumab-tnjn)  Injection,"December 6, 2023","Bio-Thera Solutions, Ltd.","Colorectal Cancer, Non-Small Cell Lung Cancer, Glioblastoma Multiforme, Renal Cell Carcinoma, Cervical Cancer, Ovarian Cancer, Fallopian Tube Cancer, Peritoneal Cancer"
Fabhalta,(iptacopan)  Capsules,"December 5, 2023",Novartis,Paroxysmal Nocturnal Hemoglobinuria
Ogsiveo,(nirogacestat)  Tablets,"November 27, 2023","SpringWorks Therapeutics, Inc.",Desmoid Tumors
Ryzneuta,(efbemalenograstim alfa-vuxw)  Injection,"November 16, 2023",Evive Biotech,Neutropenia Associated with Chemotherapy
Truqap,(capivasertib)  Tablets,"November 16, 2023",AstraZeneca,Breast Cancer
Augtyro,(repotrectinib)  Capsules,"November 15, 2023",Bristol Myers Squibb,Non-Small Cell Lung Cancer
DefenCath,(taurolidine and heparin)  Catheter Lock Solution,"November 15, 2023",CorMedix Inc.,Prevention of Catheter-Related Bloodstream Infections
Ixchiq,"(chikungunya vaccine, live)  Injection  - formerly VLA1553","November 9, 2023",Valneva SE,Chikungunya Disease Prevention
Adzynma,"(ADAMTS13, recombinant-krhn)  Lyophilized Powder for Injection","November 9, 2023",Takeda,Thrombotic Thrombocytopenic Purpura
Fruzaqla,(fruquintinib)  Capsules,"November 8, 2023",Takeda,Colorectal Cancer
Zepbound,(tirzepatide)  Injection,"November 8, 2023",Eli Lilly and Company,Weight Loss (Obesity/Overweight)
Zituvimet,(metformin hydrochloride and sitagliptin)  Tablets,"November 3, 2023",Zydus Pharmaceuticals USA Inc.,"Diabetes, Type 2"
Voquezna,(vonoprazan)  Tablets,"November 1, 2023","Phathom Pharmaceuticals, Inc.",Erosive Esophagitis
Wezlana,(ustekinumab-auub)  Injection,"October 31, 2023","Amgen, Inc.","Plaque Psoriasis, Psoriatic Arthritis, Crohn's Disease, Ulcerative Colitis"
Loqtorzi,(toripalimab-tpzi)  Injection,"October 27, 2023","Coherus Biosciences, Inc.",Nasopharyngeal Carcinoma
Omvoh,(mirikizumab-mrkz)  Injection,"October 26, 2023",Eli Lilly and Company,Ulcerative Colitis
Agamree,(vamorolone)  Oral Suspension,"October 26, 2023","Catalyst Pharmaceuticals, Inc.",Duchenne Muscular Dystrophy
Zymfentra,(infliximab-dyyb)  Subcutaneous Injection,"October 20, 2023",Celltrion USA,"Crohn's Disease, Ulcerative Colitis"
Cabtreo,"(adapalene, benzoyl peroxide and clindamycin phosphate)  Topical Gel","October 20, 2023",Bausch Health Companies Inc.,Acne
Zituvio,(sitagliptin)  Tablets,"October 18, 2023",Zydus Pharmaceuticals USA Inc.,"Diabetes, Type 2"
Penbraya,"(meningococcal groups A, B, C, W, and Y vaccine)  Injection","October 20, 2023","Pfizer, Inc.",Meningococcal Disease Prophylaxis
